TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
2509000000.0	130137863.9	110014486.3	147309475.0
2510000000.0	130153073.7	110023454.1	147334264.9
2511000000.0	130168275.5	110032416.5	147359046.0
2512000000.0	130183469.6	110041373.3	147383818.5
2513000000.0	130198655.8	110050324.8	147408582.2
2514000000.0	130213834.2	110059270.8	147433337.2
2515000000.0	130229004.8	110068211.4	147458083.6
2516000000.0	130244167.6	110077146.6	147482821.2
2517000000.0	130259322.6	110086076.3	147507550.2
2518000000.0	130274469.7	110095000.6	147532270.4
2519000000.0	130289609.1	110103919.6	147556982.0
2520000000.0	130304740.7	110112833.1	147581684.9
2521000000.0	130319864.5	110121741.2	147606379.2
2522000000.0	130334980.6	110130643.9	147631064.8
2523000000.0	130350088.8	110139541.2	147655741.7
2524000000.0	130365189.3	110148433.2	147680410.0
2525000000.0	130380282.1	110157319.7	147705069.6
2526000000.0	130395367.1	110166200.9	147729720.5
2527000000.0	130410444.3	110175076.7	147754362.9
2528000000.0	130425513.9	110183947.2	147778996.6
2529000000.0	130440575.7	110192812.3	147803621.7
2530000000.0	130455629.7	110201672.0	147828238.1
2531000000.0	130470676.1	110210526.4	147852845.9
2532000000.0	130485714.7	110219375.4	147877445.2
2533000000.0	130500745.6	110228219.1	147902035.8
2534000000.0	130515768.8	110237057.5	147926617.8
2535000000.0	130530784.4	110245890.5	147951191.2
2536000000.0	130545792.2	110254718.2	147975756.0
2537000000.0	130560792.3	110263540.6	148000312.2
2538000000.0	130575784.8	110272357.6	148024859.8
2539000000.0	130590769.6	110281169.4	148049398.9
2540000000.0	130605746.7	110289975.8	148073929.4
2541000000.0	130620716.2	110298776.9	148098451.3
2542000000.0	130635678.0	110307572.8	148122964.6
2543000000.0	130650632.2	110316363.3	148147469.4
2544000000.0	130665578.7	110325148.6	148171965.6
2545000000.0	130680517.6	110333928.5	148196453.3
2546000000.0	130695448.9	110342703.2	148220932.5
2547000000.0	130710372.5	110351472.6	148245403.1
2548000000.0	130725288.5	110360236.8	148269865.1
2549000000.0	130740196.9	110368995.6	148294318.6
2550000000.0	130755097.7	110377749.3	148318763.7
2551000000.0	130769990.9	110386497.6	148343200.1
2552000000.0	130784876.5	110395240.7	148367628.1
2553000000.0	130799754.5	110403978.6	148392047.6
2554000000.0	130814625.0	110412711.2	148416458.5
2555000000.0	130829487.8	110421438.6	148440861.0
2556000000.0	130844343.1	110430160.8	148465254.9
2557000000.0	130859190.8	110438877.7	148489640.4
2558000000.0	130874030.9	110447589.4	148514017.4
2559000000.0	130888863.5	110456295.9	148538385.9
2560000000.0	130903688.6	110464997.2	148562745.9
2561000000.0	130918506.1	110473693.3	148587097.4
2562000000.0	130933316.0	110482384.1	148611440.5
2563000000.0	130948118.5	110491069.8	148635775.1
2564000000.0	130962913.4	110499750.3	148660101.3
2565000000.0	130977700.8	110508425.6	148684419.0
2566000000.0	130992480.7	110517095.7	148708728.3
2567000000.0	131007253.0	110525760.6	148733029.1
2568000000.0	131022017.9	110534420.3	148757321.5
2569000000.0	131036775.3	110543074.9	148781605.4
2570000000.0	131051525.1	110551724.3	148805881.0
2571000000.0	131066267.5	110560368.5	148830148.1
2572000000.0	131081002.4	110569007.6	148854406.7
2573000000.0	131095729.9	110577641.6	148878657.0
2574000000.0	131110449.8	110586270.4	148902898.8
2575000000.0	131125162.3	110594894.0	148927132.3
2576000000.0	131139867.4	110603512.5	148951357.4
2577000000.0	131154565.0	110612125.9	148975574.0
2578000000.0	131169255.2	110620734.1	148999782.3
2579000000.0	131183937.9	110629337.2	149023982.2
2580000000.0	131198613.2	110637935.2	149048173.7
2581000000.0	131213281.0	110646528.1	149072356.8
2582000000.0	131227941.4	110655115.9	149096531.5
2583000000.0	131242594.5	110663698.5	149120697.9
2584000000.0	131257240.1	110672276.1	149144856.0
2585000000.0	131271878.3	110680848.6	149169005.6
2586000000.0	131286509.1	110689415.9	149193146.9
2587000000.0	131301132.5	110697978.2	149217279.9
2588000000.0	131315748.5	110706535.4	149241404.5
2589000000.0	131330357.1	110715087.5	149265520.8
2590000000.0	131344958.4	110723634.6	149289628.8
2591000000.0	131359552.3	110732176.5	149313728.4
2592000000.0	131374138.8	110740713.5	149337819.7
2593000000.0	131388718.0	110749245.3	149361902.7
2594000000.0	131403289.8	110757772.1	149385977.4
2595000000.0	131417854.2	110766293.8	149410043.8
2596000000.0	131432411.3	110774810.5	149434101.8
2597000000.0	131446961.1	110783322.2	149458151.6
2598000000.0	131461503.5	110791828.8	149482193.1
2599000000.0	131476038.7	110800330.4	149506226.2
2600000000.0	131490566.5	110808826.9	149530251.1
2601000000.0	131505086.9	110817318.4	149554267.7
2602000000.0	131519600.1	110825804.9	149578276.1
2603000000.0	131534106.0	110834286.4	149602276.1
2604000000.0	131548604.6	110842762.9	149626267.9
2605000000.0	131563095.8	110851234.3	149650251.4
2606000000.0	131577579.8	110859700.8	149674226.7
2607000000.0	131592056.5	110868162.2	149698193.7
2608000000.0	131606526.0	110876618.7	149722152.5
2609000000.0	131620988.1	110885070.2	149746103.0
2610000000.0	131635443.0	110893516.7	149770045.3
2611000000.0	131649890.6	110901958.2	149793979.4
2612000000.0	131664331.0	110910394.7	149817905.2
2613000000.0	131678764.1	110918826.3	149841822.8
2614000000.0	131693190.0	110927252.9	149865732.2
2615000000.0	131707608.7	110935674.5	149889633.3
2616000000.0	131722020.1	110944091.2	149913526.3
2617000000.0	131736424.3	110952502.9	149937411.0
2618000000.0	131750821.2	110960909.7	149961287.6
2619000000.0	131765211.0	110969311.5	149985155.9
2620000000.0	131779593.5	110977708.4	150009016.1
2621000000.0	131793968.9	110986100.3	150032868.0
2622000000.0	131808337.0	110994487.3	150056711.8
2623000000.0	131822698.0	111002869.4	150080547.4
2624000000.0	131837051.7	111011246.6	150104374.8
2625000000.0	131851398.3	111019618.8	150128194.1
2626000000.0	131865737.7	111027986.1	150152005.2
2627000000.0	131880069.9	111036348.5	150175808.1
2628000000.0	131894394.9	111044706.1	150199602.9
2629000000.0	131908712.8	111053058.7	150223389.5
2630000000.0	131923023.6	111061406.4	150247168.0
2631000000.0	131937327.2	111069749.2	150270938.3
2632000000.0	131951623.6	111078087.1	150294700.5
2633000000.0	131965912.9	111086420.1	150318454.6
2634000000.0	131980195.1	111094748.3	150342200.5
2635000000.0	131994470.1	111103071.6	150365938.3
2636000000.0	132008738.0	111111390.0	150389668.0
2637000000.0	132022998.8	111119703.5	150413389.6
2638000000.0	132037252.5	111128012.2	150437103.1
2639000000.0	132051499.0	111136316.0	150460808.4
2640000000.0	132065738.5	111144615.0	150484505.7
2641000000.0	132079970.9	111152909.1	150508194.9
2642000000.0	132094196.2	111161198.3	150531875.9
2643000000.0	132108414.4	111169482.8	150555548.9
