gene_short_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,score
CG7470,26.38549113317639,-0.030480596596402173,0.6578073931052151,-0.145268112280279,0.8844991903409933,0.9561185579799403,0.05330256030157266
CG14561,8.927361458652623,0.8549161344983623,0.559031452966216,2.227913000957051,0.0258863170477821,0.0998348960809463,1.5869297340225497
CG7133,27.272100658246273,-0.27971961327717276,0.29282627842492126,-1.1630161201725142,0.24482296210163867,0.49319820165687045,0.6111478518599522
CG7130,13.288053176713678,-0.3862669896092166,0.46160926284516507,-1.2830479130743577,0.19947529046947365,0.43281022764884786,0.7001108938488239
CG11523,77.19747386096539,-0.026176300003988125,0.3150447782164244,-0.10939554211814634,0.9128887694037849,0.967740408448443,0.039582135693521106
laza,3.692541731638912,-0.16575622252166053,0.6395332429677258,-0.6994449437496607,0.48427400877294147,0.7231297416437427,0.3149088391289638
CG11426,4.300103603807782,-0.08078178677496435,0.6726092204454495,-0.6043293446189436,0.5456247003925099,0.7695227276722862,0.2631059774253432
CG14457,3.12351884795131,-0.1828935579378108,0.6472952065126296,-0.7732003789848586,0.4394038019022912,0.6867044558319914,0.3571361897048972
ArfGAP3,43.12205455191445,0.028417566658758837,0.2333353718725194,0.138223871747509,0.8900634892548445,0.9591173469315866,0.05057901352406744
CG14450,5.219087485107904,-0.14584228682853587,0.5191343297921881,-0.5311105110923322,0.5953422007907434,0.8009429375754537,0.22523333142277685
CG11367,3.43622716753202,0.2323015241340846,0.6450423485087124,0.8650975261842615,0.3869852623936878,0.6396313551278525,0.4123055739551741
CG11241,11.441900616737883,-1.4043636457003268,0.7236913371647115,-2.7725928846794954,0.00556116459986625,0.029973295537477882,2.2548342504444596
CG7369,13.840335706564725,0.18293053440460588,0.40220802330191513,0.6652180005901259,0.505911068827603,0.7406230788277561,0.295925818559092
CG11137,102.26346575274775,-0.06680209437206848,0.19635328849151046,-0.37711657471460985,0.7060869741865645,0.8709636196425734,0.1511418002472929
Ssl1,7.425373911159517,-0.15018132271211668,0.4846881957875272,-0.5395466876877087,0.5895096911778875,0.797500905410837,0.22950905097519525
slif,2.602171183570816,0.17686056725421634,0.6901771160968014,0.7295578917430792,0.46566046900933933,,0.3319306287621514
Mes2,170.51679449706685,-1.6500978868848997,0.2753969729552993,-6.291924456313589,3.135540795138396e-10,1.2582037109740315e-08,9.50368754443791
CG12582,22.37575571601737,-0.48177165913595915,0.342585858255672,-1.7679195943116912,0.07707434658052206,0.22727871248881892,1.1130901484396187
CG14636,2.208581831149647,3.2680116518521034,1.9669936035199742,2.0507103768564723,0.040295159826637665,,1.3947471173036872
aux,14.529507722507775,0.11878815511015828,0.3704893979353322,0.44639078423212397,0.6553149886308378,0.8408866268161324,0.18354989857030746
CG14641,17.05503002414721,0.7080648174767913,0.4219912583020155,2.2053727178552314,0.027427950866668674,0.10467555520418577,1.5618066371836856
Vps24,202.04512982504892,-0.6856423169787631,0.13990032661351742,-5.0718224591109875,3.940239090892379e-07,8.214156086779249e-06,6.404477424696044
CG9791,3.6121104445947125,-0.3331002194409415,0.6249204575880207,-1.1589260545531548,0.24648632762021083,0.4950400399749342,0.6082071656515675
CG9795,14.043199938340566,-0.005884218238984247,0.3704741108440207,-0.024188377072355768,0.9807023491719279,0.9941640928667528,0.008462784390818582
CG1103,34.59964620090303,0.5806204929543218,0.301197243528392,2.2807984165977295,0.022560378131353812,0.08954496568774052,1.646653625478405
Skp2,20.572797394286777,0.3131747432318129,0.33369114435675296,1.205518422557999,0.2280032304712205,0.4705108281602892,0.6420589996403975
CG11739,31.910192360592387,-0.18807092681940063,0.43151416704340445,-0.6752328435401604,0.4995278430658271,0.7367282862313805,0.30144029972460024
Cont,10.95764652764939,-0.9181460167046575,0.48879228304237443,-2.4998003625777323,0.012426331007731325,0.055689857879710036,1.9056570820027587
CG14646,5.422233372340548,0.2883046222406072,0.5744582304412877,0.9914098426224294,0.32148549606596666,0.5771275701292838,0.49283861564988285
CG9855,29.40531317797215,0.5319053286790968,0.3002730452921285,2.108576810950421,0.03498112623203621,0.12498146078373412,1.456166212339191
CG14647,27.22857516727642,0.29796232665623407,0.31095403938383037,1.195316818348369,0.23196327120416582,0.4755726605727464,0.6345807753510464
