TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
8323000000.0	207883834.0	167824711.9	337918375.3
8324000000.0	207888948.0	167827236.0	337942286.2
8325000000.0	207894061.0	167829759.6	337966195.6
8326000000.0	207899173.2	167832282.7	337990103.4
8327000000.0	207904284.4	167834805.2	338014009.8
8328000000.0	207909394.7	167837327.2	338037914.6
8329000000.0	207914504.1	167839848.7	338061817.8
8330000000.0	207919612.6	167842369.7	338085719.6
8331000000.0	207924720.1	167844890.2	338109619.8
8332000000.0	207929826.8	167847410.2	338133518.5
8333000000.0	207934932.5	167849929.6	338157415.7
8334000000.0	207940037.3	167852448.5	338181311.4
8335000000.0	207945141.1	167854967.0	338205205.5
8336000000.0	207950244.1	167857484.9	338229098.1
8337000000.0	207955346.1	167860002.2	338252989.2
8338000000.0	207960447.3	167862519.1	338276878.7
8339000000.0	207965547.5	167865035.4	338300766.8
8340000000.0	207970646.7	167867551.3	338324653.3
8341000000.0	207975745.1	167870066.6	338348538.3
8342000000.0	207980842.6	167872581.4	338372421.7
8343000000.0	207985939.1	167875095.7	338396303.7
8344000000.0	207991034.7	167877609.4	338420184.1
8345000000.0	207996129.4	167880122.7	338444063.0
8346000000.0	208001223.2	167882635.4	338467940.4
8347000000.0	208006316.1	167885147.6	338491816.2
8348000000.0	208011408.1	167887659.4	338515690.5
8349000000.0	208016499.1	167890170.5	338539563.3
8350000000.0	208021589.2	167892681.2	338563434.6
8351000000.0	208026678.5	167895191.4	338587304.4
8352000000.0	208031766.8	167897701.1	338611172.6
8353000000.0	208036854.1	167900210.2	338635039.3
8354000000.0	208041940.6	167902718.8	338658904.5
8355000000.0	208047026.2	167905226.9	338682768.2
8356000000.0	208052110.8	167907734.5	338706630.4
8357000000.0	208057194.6	167910241.6	338730491.0
8358000000.0	208062277.4	167912748.2	338754350.1
8359000000.0	208067359.3	167915254.2	338778207.7
8360000000.0	208072440.3	167917759.8	338802063.8
8361000000.0	208077520.4	167920264.8	338825918.3
8362000000.0	208082599.6	167922769.4	338849771.4
8363000000.0	208087677.8	167925273.4	338873622.9
8364000000.0	208092755.2	167927776.9	338897472.9
8365000000.0	208097831.6	167930279.9	338921321.3
8366000000.0	208102907.2	167932782.3	338945168.3
8367000000.0	208107981.8	167935284.3	338969013.7
8368000000.0	208113055.5	167937785.7	338992857.6
8369000000.0	208118128.3	167940286.7	339016700.0
8370000000.0	208123200.2	167942787.1	339040540.9
8371000000.0	208128271.2	167945287.0	339064380.3
8372000000.0	208133341.3	167947786.4	339088218.1
8373000000.0	208138410.4	167950285.3	339112054.4
8374000000.0	208143478.7	167952783.7	339135889.2
8375000000.0	208148546.0	167955281.6	339159722.5
8376000000.0	208153612.5	167957779.0	339183554.3
8377000000.0	208158678.0	167960275.8	339207384.5
8378000000.0	208163742.6	167962772.2	339231213.3
8379000000.0	208168806.3	167965268.0	339255040.5
8380000000.0	208173869.2	167967763.4	339278866.2
8381000000.0	208178931.1	167970258.2	339302690.4
8382000000.0	208183992.1	167972752.5	339326513.1
8383000000.0	208189052.1	167975246.3	339350334.2
8384000000.0	208194111.3	167977739.6	339374153.8
8385000000.0	208199169.6	167980232.4	339397972.0
8386000000.0	208204227.0	167982724.6	339421788.6
8387000000.0	208209283.5	167985216.4	339445603.7
8388000000.0	208214339.0	167987707.7	339469417.2
8389000000.0	208219393.7	167990198.4	339493229.3
8390000000.0	208224447.4	167992688.7	339517039.8
8391000000.0	208229500.3	167995178.4	339540848.9
8392000000.0	208234552.2	167997667.6	339564656.4
8393000000.0	208239603.3	168000156.3	339588462.4
8394000000.0	208244653.4	168002644.6	339612266.8
8395000000.0	208249702.6	168005132.3	339636069.8
8396000000.0	208254751.0	168007619.5	339659871.3
8397000000.0	208259798.4	168010106.2	339683671.2
8398000000.0	208264844.9	168012592.3	339707469.6
8399000000.0	208269890.5	168015078.0	339731266.6
8400000000.0	208274935.3	168017563.2	339755062.0
8401000000.0	208279979.1	168020047.9	339778855.8
8402000000.0	208285022.0	168022532.0	339802648.2
8403000000.0	208290064.0	168025015.7	339826439.1
8404000000.0	208295105.1	168027498.8	339850228.4
8405000000.0	208300145.3	168029981.5	339874016.3
8406000000.0	208305184.6	168032463.6	339897802.6
8407000000.0	208310223.0	168034945.2	339921587.4
8408000000.0	208315260.6	168037426.4	339945370.7
8409000000.0	208320297.2	168039907.0	339969152.5
8410000000.0	208325332.9	168042387.1	339992932.7
8411000000.0	208330367.7	168044866.7	340016711.5
8412000000.0	208335401.6	168047345.8	340040488.8
8413000000.0	208340434.6	168049824.4	340064264.5
8414000000.0	208345466.7	168052302.5	340088038.7
8415000000.0	208350497.9	168054780.1	340111811.4
8416000000.0	208355528.3	168057257.2	340135582.6
8417000000.0	208360557.7	168059733.8	340159352.3
8418000000.0	208365586.2	168062209.9	340183120.5
8419000000.0	208370613.8	168064685.5	340206887.2
8420000000.0	208375640.5	168067160.6	340230652.4
8421000000.0	208380666.4	168069635.1	340254416.0
8422000000.0	208385691.3	168072109.2	340278178.2
8423000000.0	208390715.3	168074582.8	340301938.8
8424000000.0	208395738.5	168077055.8	340325697.9
8425000000.0	208400760.7	168079528.4	340349455.6
8426000000.0	208405782.1	168082000.5	340373211.7
8427000000.0	208410802.5	168084472.0	340396966.3
8428000000.0	208415822.1	168086943.1	340420719.3
8429000000.0	208420840.7	168089413.6	340444470.9
8430000000.0	208425858.5	168091883.7	340468221.0
8431000000.0	208430875.4	168094353.2	340491969.6
8432000000.0	208435891.3	168096822.3	340515716.6
8433000000.0	208440906.4	168099290.8	340539462.2
8434000000.0	208445920.6	168101758.9	340563206.2
8435000000.0	208450933.9	168104226.4	340586948.8
8436000000.0	208455946.3	168106693.5	340610689.8
8437000000.0	208460957.8	168109160.0	340634429.3
8438000000.0	208465968.4	168111626.1	340658167.3
8439000000.0	208470978.1	168114091.6	340681903.8
8440000000.0	208475987.0	168116556.7	340705638.8
8441000000.0	208480994.9	168119021.2	340729372.3
8442000000.0	208486001.9	168121485.3	340753104.3
8443000000.0	208491008.1	168123948.8	340776834.8
8444000000.0	208496013.3	168126411.9	340800563.7
8445000000.0	208501017.7	168128874.4	340824291.2
8446000000.0	208506021.2	168131336.5	340848017.2
8447000000.0	208511023.8	168133798.0	340871741.6
8448000000.0	208516025.5	168136259.0	340895464.6
8449000000.0	208521026.3	168138719.6	340919186.0
8450000000.0	208526026.2	168141179.7	340942906.0
8451000000.0	208531025.2	168143639.2	340966624.4
8452000000.0	208536023.3	168146098.3	340990341.3
